Frequência (Hz)	Nível (dB)
19767,480469	-53,450031
19810,546875	-52,795483
19853,613281	-53,351406
19896,679688	-55,168385
19939,746094	-54,750717
19982,812500	-57,555748
20025,878906	-59,450798
20068,945312	-60,433807
20112,011719	-60,526520
20155,078125	-59,523319
20198,144531	-57,250164
20241,210938	-57,360653
20284,277344	-56,477180
20327,343750	-55,497261
20370,410156	-56,194790
20413,476562	-55,115337
20456,542969	-53,507740
20499,609375	-52,518505
20542,675781	-52,088726
20585,742188	-51,677074
20628,808594	-53,244389
20671,875000	-52,723793
20714,941406	-55,370541
20758,007812	-57,580917
20801,074219	-58,540825
20844,140625	-62,439987
20887,207031	-59,104301
20930,273438	-56,658894
20973,339844	-58,645870
21016,406250	-64,209267
21059,472656	-58,655434
21102,539062	-59,551735
21145,605469	-58,190010
21188,671875	-55,183384
21231,738281	-58,462070
21274,804688	-59,387585
21317,871094	-58,639496
21360,937500	-55,998234
21404,003906	-57,278473
21447,070312	-59,544090
21490,136719	-58,470039
21533,203125	-63,277576
21576,269531	-61,526253
21619,335938	-58,110580
21662,402344	-59,469028
21705,468750	-62,353199
21748,535156	-62,376488
21791,601562	-60,960129
21834,667969	-64,445175
21877,734375	-64,344070
21920,800781	-63,202698
21963,867188	-64,872559
22006,933594	-64,909874
